Time_Sec,embb_Norm_availability,embb_Fault_availability,embb_Res_availability,embb_Norm_throughput,embb_Fault_throughput,embb_Res_throughput,embb_Norm_blocking,embb_Fault_blocking,embb_Res_blocking,embb_Norm_connected_count,embb_Fault_connected_count,embb_Res_connected_count,urllc_Norm_availability,urllc_Fault_availability,urllc_Res_availability,urllc_Norm_throughput,urllc_Fault_throughput,urllc_Res_throughput,urllc_Norm_blocking,urllc_Fault_blocking,urllc_Res_blocking,urllc_Norm_connected_count,urllc_Fault_connected_count,urllc_Res_connected_count,mmtc_Norm_availability,mmtc_Fault_availability,mmtc_Res_availability,mmtc_Norm_throughput,mmtc_Fault_throughput,mmtc_Res_throughput,mmtc_Norm_blocking,mmtc_Fault_blocking,mmtc_Res_blocking,mmtc_Norm_connected_count,mmtc_Fault_connected_count,mmtc_Res_connected_count
20,0.4010152284263959,0.39086294416243655,0.39593908629441626,25.476474,28.11550433333333,34.58574,0.9403669724770642,0.918552036199095,0.8935185185185185,79,77,78,0.6320754716981132,0.7358490566037735,0.7452830188679245,2.8817431111111107,3.4925061111111124,3.119954984126981,0.020618556701030927,0.020833333333333332,0.0,67,78,79,0.6751269035532995,0.6294416243654822,0.6802030456852792,0.920234,0.96306,0.637897,0.21243523316062177,0.09844559585492228,0.005681818181818182,133,124,134
21,0.39593908629441626,0.4010152284263959,0.39086294416243655,27.630148,29.717908,36.878029,0.9144144144144144,0.9124423963133641,0.9209302325581395,78,79,77,0.6509433962264151,0.7264150943396226,0.7264150943396226,3.2882973333333325,3.3109140000000012,3.1007395252525223,0.02127659574468085,0.020618556701030927,0.0,69,77,77,0.6345177664974619,0.6192893401015228,0.6751269035532995,0.907378,0.882688,0.572421,0.22388059701492538,0.12,0.0111731843575419,125,122,133
22,0.39086294416243655,0.4010152284263959,0.4010152284263959,25.734618333333334,26.67346433333333,34.252586,0.9357798165137615,0.9398148148148148,0.8854625550660793,77,79,79,0.6509433962264151,0.7452830188679245,0.7358490566037735,3.1074638888888884,3.3340175714285727,2.885583935064932,0.0,0.020202020202020204,0.0,69,79,78,0.5583756345177665,0.6091370558375635,0.6700507614213198,0.920913,0.883221,0.63077,0.22277227722772278,0.1116751269035533,0.011111111111111112,110,120,132
23,0.4010152284263959,0.4010152284263959,0.4010152284263959,22.011978666666668,28.651670666666664,35.353952,0.9107142857142857,0.9181818181818182,0.9099099099099099,79,79,79,0.6320754716981132,0.7358490566037735,0.7358490566037735,2.6996442222222217,3.7766909682539698,3.000393044733042,0.0,0.030612244897959183,0.0,67,78,78,0.5126903553299492,0.6243654822335025,0.6852791878172588,0.91827,0.866928,0.616496,0.21256038647342995,0.14903846153846154,0.021621621621621623,101,123,135
24,0.39086294416243655,0.39086294416243655,0.38578680203045684,23.96847633333333,26.971095,34.303396,0.9321266968325792,0.9292452830188679,0.9036697247706422,77,77,76,0.6037735849056604,0.7169811320754716,0.7075471698113207,3.061057793650793,3.5713566825396836,2.771923682539679,0.011494252873563218,0.0,0.0,64,76,75,0.4873096446700508,0.6395939086294417,0.6852791878172588,0.76736,0.883105,0.593626,0.20930232558139536,0.1218274111675127,0.011111111111111112,96,126,135
25,0.4010152284263959,0.39593908629441626,0.39086294416243655,24.318547,28.94674,38.685764,0.9279279279279279,0.9248826291079812,0.9227272727272727,79,78,77,0.6415094339622641,0.6698113207547169,0.7264150943396226,3.5088698888888885,3.8226382222222233,3.1365169191919153,0.0,0.0,0.0,68,71,77,0.49746192893401014,0.6395939086294417,0.700507614213198,0.662053,0.894511,0.644718,0.24242424242424243,0.1457286432160804,0.01092896174863388,98,126,138
26,0.39593908629441626,0.4010152284263959,0.4010152284263959,23.000507,26.566762,35.635216,0.9493087557603687,0.9411764705882353,0.8831168831168831,78,79,79,0.6226415094339622,0.6886792452830188,0.7452830188679245,3.0594559999999995,4.3693955238095255,3.629715888888885,0.0,0.0,0.0,66,73,79,0.5736040609137056,0.6446700507614214,0.6903553299492385,0.594143,0.9162,0.632398,0.2314410480349345,0.12435233160621761,0.0,113,127,136
27,0.4010152284263959,0.39593908629441626,0.39593908629441626,23.053125,27.13634,33.183081,0.9264069264069265,0.9485981308411215,0.8995633187772926,79,78,78,0.6320754716981132,0.7075471698113207,0.7264150943396226,3.4659891111111105,3.53238542857143,3.424440571428568,0.0,0.0,0.0,67,75,77,0.6446700507614214,0.6446700507614214,0.6954314720812182,0.625069,0.957061,0.615311,0.3135593220338983,0.14795918367346939,0.005555555555555556,127,127,137
28,0.39593908629441626,0.39593908629441626,0.39086294416243655,22.867108333333334,24.045087666666667,37.143589,0.8995633187772926,0.9027777777777778,0.9178082191780822,78,78,77,0.6320754716981132,0.7358490566037735,0.7264150943396226,3.4711722857142853,3.5885607777777793,3.621888126984124,0.0,0.0,0.0,67,78,77,0.6700507614213198,0.6446700507614214,0.6852791878172588,0.786117,1.000481,0.676027,0.3194444444444444,0.11458333333333333,0.0,132,127,135
29,0.4010152284263959,0.39593908629441626,0.4010152284263959,25.226295,24.453270333333336,37.940144,0.92,0.9174311926605505,0.9126637554585153,79,78,79,0.6320754716981132,0.7169811320754716,0.7264150943396226,2.898400761904761,3.0152957777777796,2.604451126984124,0.0,0.0,0.0,67,76,77,0.6598984771573604,0.6395939086294417,0.6802030456852792,1.010264,0.963603,0.641117,0.32038834951456313,0.14795918367346939,0.016853932584269662,130,126,134
30,0.39086294416243655,0.4010152284263959,0.4010152284263959,27.541801,27.12292933333333,41.422849,0.9672897196261683,0.9333333333333333,0.908695652173913,77,79,79,0.6320754716981132,0.6886792452830188,0.6886792452830188,3.277927444444444,3.070494000000002,2.7306187777777753,0.0,0.0,0.0,67,73,73,0.5786802030456852,0.6395939086294417,0.6700507614213198,1.106198,0.993174,0.621784,0.30097087378640774,0.17412935323383086,0.0,114,126,132
31,0.39593908629441626,0.39593908629441626,0.4010152284263959,29.414013,26.413173333333333,40.392689,0.9241071428571429,0.9342723004694836,0.8951965065502183,78,78,79,0.6886792452830188,0.6981132075471698,0.6698113207547169,2.8647925396825387,3.89544777777778,3.4145808730158707,0.02127659574468085,0.0,0.0,73,74,71,0.5228426395939086,0.6345177664974619,0.6751269035532995,0.951195,1.065303,0.635348,0.2616822429906542,0.1724137931034483,0.0,103,125,133
32,0.4010152284263959,0.39593908629441626,0.4010152284263959,30.31927,26.05408033333333,36.126487,0.9217391304347826,0.9049773755656109,0.896551724137931,79,78,79,0.6792452830188679,0.7075471698113207,0.6792452830188679,3.1960007777777766,3.312396571428573,3.0912373189033158,0.031914893617021274,0.0,0.0,72,75,72,0.5177664974619289,0.6091370558375635,0.6802030456852792,0.842999,0.995046,0.650061,0.2599118942731278,0.1641025641025641,0.00558659217877095,102,120,134
33,0.39593908629441626,0.4010152284263959,0.39593908629441626,27.227514,28.425813,35.868966,0.9272727272727272,0.9414634146341463,0.9066666666666666,78,79,78,0.6509433962264151,0.6792452830188679,0.6886792452830188,2.95554957142857,3.0910596825396843,3.235467238095235,0.02127659574468085,0.0,0.0,69,72,73,0.5888324873096447,0.6091370558375635,0.6802030456852792,0.823142,1.083647,0.642213,0.27896995708154504,0.19523809523809524,0.01639344262295082,116,120,134
34,0.4010152284263959,0.4010152284263959,0.4010152284263959,23.420879,28.360721,35.860567,0.9188034188034188,0.9252336448598131,0.8944954128440367,79,79,79,0.6509433962264151,0.660377358490566,0.6698113207547169,3.073514222222221,3.5264244603174624,3.127595428571426,0.022222222222222223,0.0,0.0,69,70,71,0.6395939086294417,0.5939086294416244,0.6954314720812182,0.858785,1.051833,0.605748,0.32608695652173914,0.18840579710144928,0.02197802197802198,126,117,137
